eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,502.18699056,510,0.010594137,0.16088867,8.441882,0.0002908769,10.145807,0.20667743682861328,820,1679360,3299.146003963,1679360
1000.0,506.00859522999997,514,0.010065897,0.14953613,8.444921,0.000713927,9.433955,0.09794741868972778,830,1699840,3338.9814098879997,1699840
1000.0,505.92542570000006,512,0.008685554,0.119262695,8.449557,-0.0044201314,9.525383,0.13659411668777466,840,1720320,3378.9740884519997,1720320
1000.0,505.03731417,513,0.012151632,0.17541504,8.427017,-0.002311795,9.615557,0.16904300451278687,850,1740800,3418.998080703999,1740800
1000.0,506.9765456900001,511,0.01634704,0.22619629,8.430457,-0.003020118,10.346104,0.21136373281478882,860,1761280,3458.861585806,1761280
1000.0,509.52420886000004,512,0.005845065,0.07299805,8.456027,-0.00090163393,9.800416,0.14480048418045044,870,1781760,3499.1074340609994,1781760
1000.0,511.45345922000007,507,0.009971993,0.14819336,8.433075,-0.001361468,10.575476,0.14937996864318848,880,1802240,3539.194919058,1802240
1000.0,517.66157753,511,0.02338616,0.30273438,8.415445,-0.001669052,9.751353,0.24286997318267822,890,1822720,3578.932096191,1822720
1000.0,521.1164916900001,512,0.00875585,0.12561035,8.412151,-0.00014714745,12.19573,0.18337470293045044,900,1843200,3618.9577185569997,1843200
1000.0,522.8718810099999,497,0.010110865,0.15222168,8.389124,-0.0018027625,11.06601,0.15743696689605713,910,1863680,3658.9498461290004,1863680
1000.0,524.8053803399999,509,0.009903876,0.14477539,8.387011,-0.0026481138,11.694577,0.1475658416748047,920,1884160,3698.6613918759995,1884160
1000.0,526.09910534,512,0.022232594,0.26660156,8.365674,-0.0016147252,10.7422695,0.1336982250213623,930,1904640,3738.498878888,1904640
1000.0,526.10127288,496,0.011049479,0.16247559,8.37973,-0.003806497,10.573602,0.06522226333618164,940,1925120,3778.4364377780003,1925120
1000.0,528.1273978099999,512,0.018740663,0.27331543,8.396752,-0.008969409,10.126161,0.15833020210266113,950,1945600,3818.2282252759996,1945600
1000.0,529.4776399999998,510,0.014456683,0.20446777,8.399425,-0.0039924234,9.971191,0.11687219142913818,960,1966080,3858.546369074,1966080
1000.0,530.92508515,498,0.00803539,0.11022949,8.45112,-0.0012404014,11.073471,0.21484416723251343,970,1986560,3898.7062204859994,1986560
1000.0,534.62052577,516,0.009132714,0.14074707,8.46229,-0.0010509441,13.502638,0.32002073526382446,980,2007040,3938.4439784120004,2007040
1000.0,537.9579281900001,512,0.0065198513,0.08947754,8.457697,-0.00010772029,13.1083555,0.17599236965179443,990,2027520,3978.187505172,2027520
1000.0,538.8250872499999,500,0.01301913,0.19360352,8.455167,-0.00016010186,15.721689,0.20756620168685913,1000,2048000,4017.828333604999,2048000
1000.0,542.5924110399999,516,0.011125826,0.16149902,8.452629,-0.0014249934,13.643109,-0.004058241844177246,1010,2068480,4057.5384837990005,2068480
1000.0,545.22153908,513,0.014380874,0.21704102,8.457928,-0.0013228775,10.769604,0.18574237823486328,1020,2088960,4097.393781999001,2088960
1000.0,544.15567175,503,0.0076917936,0.10192871,8.442185,-0.0014701673,10.764298,0.2562132477760315,1030,2109440,4137.004175550999,2109440
1000.0,531.5589010799999,509,0.0063480744,0.08129883,8.41543,-0.0027474896,12.401809,0.16748017072677612,1040,2129920,4176.775588737999,2129920
1000.0,535.70031796,513,0.007617289,0.10498047,8.421683,-0.00073979056,12.227385,0.17029422521591187,1050,2150400,4216.554184023,2150400
1000.0,535.1221337000001,511,0.006358278,0.08093262,8.421913,-0.002032918,11.732689,0.26759159564971924,1060,2170880,4256.151932159999,2170880
1000.0,533.75606424,507,0.015320051,0.22155762,8.38993,-0.0012357553,11.333945,0.18315726518630981,1070,2191360,4296.044348654001,2191360
