# {"t_start": 1587161644.6280663, "env_id": "HalfCheetahBulletEnv-v0"} 
r,l,t
592.395177,1000,4998.180428
576.282026,1000,4999.985755
576.630931,1000,5002.031826
552.859222,1000,5003.878881
563.126521,1000,5005.901734
571.959474,1000,5007.765829
579.643018,1000,5009.794712
574.685357,1000,5011.648147
607.59743,1000,5013.471325
583.573796,1000,5015.532327
590.368391,1000,5017.34633
571.517768,1000,5019.389973
560.997361,1000,5021.244372
579.445325,1000,5023.294406
564.618429,1000,5025.118809
555.362092,1000,5027.198258
550.352969,1000,5029.05935
584.880955,1000,5031.102511
494.178982,1000,5032.939564
430.819168,1000,5034.976999
563.652001,1000,5036.806789
577.527971,1000,5038.843807
572.026285,1000,5040.699364
571.313734,1000,5042.745612
570.988844,1000,5044.63592
570.284893,1000,5046.685585
399.095198,1000,5048.592219
390.944268,1000,5050.641482
579.161197,1000,5052.43696
343.18533,1000,5054.538378
570.03286,1000,5056.436538
580.529754,1000,5058.44608
478.570142,1000,5060.3013
582.946864,1000,5062.328344
385.373898,1000,5064.142748
564.919921,1000,5066.19469
583.414917,1000,5068.029262
564.047657,1000,5070.100644
578.404189,1000,5071.958423
378.441355,1000,5073.957896
569.682277,1000,5075.773165
580.361664,1000,5077.844402
584.39945,1000,5079.694026
562.099253,1000,5081.76883
564.692986,1000,5083.623587
572.195452,1000,5085.638946
568.525668,1000,5087.510237
605.913915,1000,5089.56559
575.650278,1000,5091.403206
578.872232,1000,5093.448257
587.338595,1000,5095.299477
593.629567,1000,5097.137686
578.925494,1000,5099.187493
581.048326,1000,5101.012295
571.140593,1000,5103.076713
564.165818,1000,5105.01598
589.889102,1000,5107.029679
565.178875,1000,5108.93702
589.192911,1000,5110.994985
567.568632,1000,5112.792314
573.412492,1000,5114.862984
593.562659,1000,5116.70669
572.85722,1000,5118.720245
573.967832,1000,5120.577363
577.971676,1000,5122.583505
566.308961,1000,5124.411768
582.964623,1000,5126.468755
576.386707,1000,5128.300354
577.549016,1000,5130.376045
573.616325,1000,5132.238752
564.820341,1000,5134.27989
564.508119,1000,5136.142742
550.741055,1000,5138.178393
564.139133,1000,5140.002933
480.97036,1000,5142.038024
568.041367,1000,5143.885969
565.713031,1000,5145.940216
585.784962,1000,5147.8288
577.097501,1000,5149.868912
594.862331,1000,5151.691203
586.829201,1000,5153.731324
579.20449,1000,5155.601218
579.517708,1000,5157.611795
578.500146,1000,5159.479456
581.315433,1000,5161.573752
550.092149,1000,5163.432045
561.686512,1000,5165.572772
590.499628,1000,5167.454741
573.183351,1000,5169.578502
-1533.763709,1000,5171.506492
595.44281,1000,5173.58428
-1464.89643,1000,5175.469547
589.852146,1000,5177.564529
565.955503,1000,5179.397512
588.430276,1000,5181.213442
572.415738,1000,5183.26371
577.906931,1000,5185.108842
